Canción,Artista,Género
Loca People - Radio Edit,Sak Noel,Dance/Electronic
Little Lion Man,Mumford & Sons,"Folk/Acoustic, rock, pop"
Like Toy Soldiers,Eminem,hip hop
Champion (feat. Chris Brown),Chip,"hip hop, Dance/Electronic"
P.I.M.P.,50 Cent,"hip hop, pop"
Ms. New Booty,Bubba Sparxxx,"hip hop, pop, country"
do re mi,blackbear,"hip hop, pop, Dance/Electronic"
Time of Our Lives,Pitbull,"hip hop, pop, latin"
Incomplete,Sisqo,"hip hop, pop, R&B"
2 On (feat. ScHoolboy Q),Tinashe,"hip hop, pop, R&B, Dance/Electronic"
"Baby, I'm Back",Baby Bash,"hip hop, pop, R&B, latin"
My Band,D12,"hip hop, pop, rock"
Callaita,Bad Bunny,latin
The Less I Know The Better,Tame Impala,metal
LoveStoned / I Think She Knows (Interlude),Justin Timberlake,pop
NUMB,Hayden James,"pop, Dance/Electronic"
Tonight (I'm Fuckin' You),Enrique Iglesias,"pop, latin"
London Bridge,Fergie,"pop, R&B"
Trick Me,Kelis,"pop, R&B, Dance/Electronic"
Back To Black,Amy Winehouse,R&B
Boulevard of Broken Dreams,Green Day,rock
Bleed It Out,Linkin Park,"rock, metal"
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,"rock, pop"
Let's Fall in Love for the Night,FINNEAS,"rock, pop, Dance/Electronic"
"You're Gonna Go Far, Kid",The Offspring,"rock, pop, metal"
Options,NSG,"World/Traditional, hip hop"
