Canción,Artista,Género,Numero_rerproducciones
Like Toy Soldiers,Eminem,hip hop,2
"Independent Women, Pt. 1",Destiny's Child,"pop, R&B",2
In the End,Linkin Park,"rock, metal",2
Spinning Around,Kylie Minogue,"pop, Dance/Electronic",2
Work It,Missy Elliott,"hip hop, pop, R&B",2
Try,P!nk,pop,2
The Way You Move (feat. Sleepy Brown),Outkast,"hip hop, pop",2
It's My Life,No Doubt,"rock, pop",2
Suga Suga,Baby Bash,"hip hop, pop, R&B, latin",2
Sex on Fire,Kings of Leon,rock,2
Burn,Ellie Goulding,"pop, rock, Dance/Electronic",2
If I Die Young,The Band Perry,country,2
Sexy And I Know It,LMFAO,"hip hop, pop, Dance/Electronic",2
SICKO MODE,Travis Scott,"hip hop, Dance/Electronic",2
Renegades,X Ambassadors,"hip hop, rock, pop",2
Breathe,Faith Hill,"pop, country",1
Rock DJ,Robbie Williams,"pop, rock",1
Lady - Hear Me Tonight,Modjo,Dance/Electronic,1
Sexbomb,Tom Jones,"rock, Folk/Acoustic, easy listening",1
Take A Look Around,Limp Bizkit,metal,1
No More,Ruff Endz,R&B,1
Be With You,Enrique Iglesias,"pop, latin",1
Go Let It Out,Oasis,"Folk/Acoustic, rock",1
Hey Baby (Radio Mix),DJ Ötzi,"pop, easy listening, Dance/Electronic",1
Maria Maria (feat. The Product G&B),Santana,"rock, blues, latin",1
Kryptonite,3 Doors Down,"pop, rock, metal",1
Hemorrhage (In My Hands),Fuel,"rock, pop, metal",1
Bag Lady,Erykah Badu,"hip hop, R&B",1
Breathless,The Corrs,"pop, Folk/Acoustic",1
I'm Like A Bird,Nelly Furtado,"hip hop, pop, latin",1
Purple Pills,D12,"hip hop, pop, rock",1
Only Time,Enya,"World/Traditional, Folk/Acoustic",1
A Thousand Miles,Vanessa Carlton,"Folk/Acoustic, pop",1
A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,"rock, easy listening",1
Mundian to Bach Ke,Panjabi MC,"World/Traditional, hip hop",1
Seven Nation Army,The White Stripes,"rock, blues",1
Sunrise,Simply Red,"rock, R&B, Folk/Acoustic, pop",1
Gasolina,Daddy Yankee,latin,1
Trick Me,Kelis,"pop, R&B, Dance/Electronic",1
Vertigo,U2,"World/Traditional, rock",1
The Closest Thing to Crazy,Katie Melua,"pop, easy listening, jazz",1
I Like The Way - Radio Edit,Bodyrockers,"rock, Dance/Electronic",1
Suddenly I See,KT Tunstall,"World/Traditional, pop, Folk/Acoustic",1
Ms. New Booty,Bubba Sparxxx,"hip hop, pop, country",1
You're All I Have,Snow Patrol,"World/Traditional, rock, pop",1
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,"World/Traditional, pop",1
Bed,J. Holiday,"hip hop, pop, R&B, Dance/Electronic",1
Spotlight,Jennifer Hudson,"pop, R&B, easy listening",1
Omen,The Prodigy,"rock, pop, Dance/Electronic",1
Little Lion Man,Mumford & Sons,"Folk/Acoustic, rock, pop",1
Midnight City,M83,"rock, pop, metal, Dance/Electronic",1
Tongue Tied,Grouplove,"pop, rock, Folk/Acoustic",1
Ai Se Eu Te Pego - Live,Michel Teló,"country, latin",1
Way down We Go,KALEO,"rock, classical",1
Spirits,The Strumbellas,"rock, Folk/Acoustic, pop",1
The Greatest Show,Hugh Jackman,easy listening,1
Adan y Eva,Paulo Londra,"hip hop, latin, Dance/Electronic",1
The Git Up,Blanco Brown,"hip hop, country",1
