Canción,Artista,Género,Numero_rerproducciones,Anio
Hot Boyz,Missy Elliott,"hip hop, pop, R&B",1,1998
All The Small Things,blink-182,"rock, pop",1,1999
In the End,Linkin Park,"rock, metal",2,2000
"Independent Women, Pt. 1",Destiny's Child,"pop, R&B",2,2001
Work It,Missy Elliott,"hip hop, pop, R&B",2,2002
The Way You Move (feat. Sleepy Brown),Outkast,"hip hop, pop",2,2003
Like Toy Soldiers,Eminem,hip hop,2,2004
Stickwitu,The Pussycat Dolls,"pop, R&B",2,2005
My Love (feat. T.I.),Justin Timberlake,pop,2,2006
Kiss Kiss (feat. T-Pain),Chris Brown,"hip hop, pop, R&B",2,2007
Live Your Life,T.I.,"hip hop, pop",2,2008
Down,Jay Sean,"hip hop, pop, R&B",2,2009
What's My Name?,Rihanna,"hip hop, pop, R&B",2,2010
Paradise,Coldplay,"rock, pop",2,2011
Try,P!nk,pop,2,2012
Talk Dirty (feat. 2 Chainz),Jason Derulo,"hip hop, pop",2,2013
Style,Taylor Swift,pop,2,2014
Put Your Hands Up for Detroit - Radio Edit,Fedde Le Grand,"pop, Dance/Electronic",2,2015
Hotline Bling,Drake,"hip hop, pop, R&B",2,2016
Breathe,Jax Jones,"hip hop, pop, Dance/Electronic",2,2017
SICKO MODE,Travis Scott,"hip hop, Dance/Electronic",2,2018
Rock The Boat,Aaliyah,"hip hop, pop, R&B",1,2019
All The Things She Said,t.A.T.u.,pop,1,2020
